feature,gain,split
EXT_SOURCES_MEAN,621257.4214103699,1599.2
EXT_SOURCES_NANMEDIAN,297392.40256037714,1345.9
EXT_SOURCES_MIN,229576.35650343896,1346.3
ORGANIZATION_TYPE,178173.8556596756,6817.0
EXT_SOURCES_MAX,129774.30054965019,1030.6
CREDIT_TO_ANNUITY_RATIO,92412.9595416069,2266.2
EXT_SOURCE_3,72297.73371949195,1481.6
CREDIT_TO_GOODS_RATIO,68812.8083782196,1145.5
BUREAU_CONSUMER_DAYS_CREDIT_ENDDATE_MAX,46327.84492735863,1271.0
OCCUPATION_TYPE,38847.29784374237,1052.1
DAYS_EMPLOYED,36612.101764059065,913.1
DAYS_BIRTH,35914.43876042366,1417.5
EXT_SOURCE_2,34512.80327529907,1066.5
EXT_SOURCE_1,34372.43582572937,1218.3
AMT_ANNUITY,34042.15147953034,1148.1
EXT_SOURCES_PROD,32940.00499072075,807.3
BUREAU_ACTIVE_DEBT_CREDIT_DIFF_MEAN,32001.69221959114,885.0
LAST_LOAN_LATE_PAYMENT_mean,31241.220231342315,488.8
LAST_LOAN_DPD_mean,29941.711658859254,413.2
CURRENT_TO_APPROVED_ANNUITY_MAX_RATIO,29598.587340450285,767.2
PREV_LAST24M_SIMPLE_INTERESTS_MAX,28574.96173081398,789.2
CURRENT_TO_APPROVED_ANNUITY_MEAN_RATIO,27608.90714211464,832.7
EMPLOYED_TO_BIRTH_RATIO,27560.560775375365,849.9
NAME_EDUCATION_TYPE,26985.995781517027,343.7
BUREAU_CREDIT_DEBT_CREDIT_DIFF_MEAN,26453.491095542908,916.5
LAST_LOAN_DPD_std,26180.018782424926,375.8
CODE_GENDER,25950.50043025017,528.7
BUREAU_DEBT_CREDIT_DIFF_MEAN,25548.951267433167,715.1
PREV_LAST24M_DAYS_LAST_DUE_1ST_VERSION_MEAN,23870.032793712617,727.7
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,23839.984767532347,515.4
AMT_GOODS_PRICE,23586.02777247429,847.9
BUREAU_ACTIVE_DEBT_PERCENTAGE_MEAN,23583.879483604433,621.1
BUREAU_DEBT_OVER_CREDIT,23564.91583862305,548.0
PREV_Cash_SIMPLE_INTERESTS_MEAN,23219.731613206863,686.1
EXT_SOURCES_WEIGHTED,21568.386036157608,649.3
INS_SIGNIFICANT_LATE_PAYMENT_SUM,21293.97047724724,548.8
INS_36M_DPD_7_MEAN,20842.66875886917,434.1
PREV_LAST24M_DAYS_LAST_DUE_1ST_VERSION_MAX,20621.89865283966,660.4
GROUP_CREDIT_TO_ANNUITY_MEAN,20435.081698226928,773.6
ANNUITY_TO_INCOME_RATIO,20381.353557395934,848.3
PAYMENT_MEAN_TO_ANNUITY_RATIO,20312.988102674484,655.2
DAYS_ID_PUBLISH,19533.80638771057,908.9
PREV_Cash_SIMPLE_INTERESTS_MAX,19052.151791620254,543.3
AMT_CREDIT,18699.21220088005,721.1
GROUP_EXT_SOURCES_STD,18254.51524810791,742.4
BUREAU_ACTIVE_DAYS_CREDIT_MAX,17626.2414498806,704.7
BUREAU_LAST12M_DEBT_PERCENTAGE_MEAN,17399.641344881056,563.6
BUREAU_LAST12M_DEBT_CREDIT_DIFF_MEAN,17249.055112791062,673.8
INCOME_TO_EMPLOYED_RATIO,16900.2248421669,709.5
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,16894.171104764937,409.8
PREV_DAYS_TERMINATION_MAX,16867.170190668105,772.1
DAYS_REGISTRATION,16618.63037023544,839.7
PREV_Cash_DAYS_LAST_DUE_1ST_VERSION_MAX,16594.653578853606,563.7
EXT_SOURCES_VAR,16409.699233436586,558.9
DAYS_LAST_PHONE_CHANGE,16161.987876319885,787.1
GROUP_EXT_SOURCES_MEDIAN,16151.780341386795,705.2
PHONE_TO_BIRTH_RATIO,15917.784527635575,802.6
BUREAU_CLOSED_DAYS_CREDIT_UPDATE_MAX,15661.885759925843,809.2
BUREAU_ACTIVE_DEBT_OVER_CREDIT,15479.309334421157,586.5
24_TREND_DPD,15456.43513584137,516.3
OWN_CAR_AGE,15375.728248596191,462.4
APPROVED_APPLICATION_CREDIT_DIFF_MAX,15128.557168626785,424.3
PREV_Cash_CNT_PAYMENT_MEAN,15080.070612478255,447.8
CC_LAST_AMT_BALANCE_MEAN,14920.35699777603,408.9
INS_DAYS_ENTRY_PAYMENT_MIN,14895.40140595436,450.9
PREV_Cash_DAYS_LAST_DUE_1ST_VERSION_MEAN,14801.291360473633,547.4
CAR_TO_EMPLOYED_RATIO,14724.999966526031,520.8
CAR_TO_BIRTH_RATIO,14719.497760868073,570.2
BUREAU_CREDIT_DEBT_PERCENTAGE_MEAN,14702.106508016586,465.3
REGION_POPULATION_RELATIVE,14612.8791929245,753.4
POS_MONTHS_BALANCE_SIZE,14551.711805152892,512.9
BUREAU_CLOSED_ENDDATE_DIF_MEAN,14399.216020298005,721.7
CC_LAST_AMT_BALANCE_MAX,14390.946968746186,369.8
BUREAU_DEBT_CREDIT_DIFF_SUM,14267.99047279358,466.3
BUREAU_ACTIVE_CREDIT_TO_INCOME_RATIO,14221.449776029587,649.3
ID_TO_BIRTH_RATIO,14094.844621753693,673.4
120_TREND_DPD,14080.776868534089,512.2
60_TREND_DPD,14056.802969455719,483.5
PREV_Consumer_AMT_ANNUITY_MAX,13950.207801532746,571.8
INS_36M_DPD_MEAN,13870.519588375091,393.5
CREDIT_TO_INCOME_RATIO,13778.448562574387,640.7
BUREAU_DAYS_CREDIT_MAX,13774.06636543274,565.4
INS_LATE_PAYMENT_SUM,13710.146729278564,445.3
PREV_LAST24M_APPLICATION_CREDIT_RATIO_MIN,13613.20938220024,425.2
PREV_CNT_PAYMENT_MEAN,13419.600458097459,450.9
PREV_Consumer_AMT_CREDIT_SUM,13289.121317577363,590.6
PREV_Cash_SIMPLE_INTERESTS_MIN,13279.764551448821,595.1
PAYMENT_MAX_TO_ANNUITY_RATIO,13275.496408748626,451.9
PREV_LAST24M_DAYS_LAST_DUE_1ST_VERSION_MIN,13272.50768108368,539.4
BUREAU_CREDIT_DAYS_CREDIT_MAX,13177.053965044022,622.8
BUREAU_CONSUMER_DAYS_CREDIT_MAX,13170.276939105988,631.6
INS_AMT_PAYMENT_SUM,12971.691515827179,384.8
GROUP_INCOME_MEAN,12909.844870710373,633.0
BUREAU_CLOSED_DAYS_CREDIT_ENDDATE_MAX,12772.46331486702,620.6
BUREAU_CLOSED_DAYS_CREDIT_VAR,12728.221272015571,581.0
PREV_ACTIVE_REMAINING_DEBT_SUM,12727.105251550674,528.2
BUREAU_CREDIT_AMT_CREDIT_SUM_DEBT_MAX,12594.089232206345,566.4
BUREAU_LAST12M_AMT_CREDIT_SUM_SUM,12579.680414438248,524.0
PREV_APPLICATION_CREDIT_DIFF_MAX,12475.726814174652,374.5
APPROVED_AMT_DOWN_PAYMENT_MAX,12443.914688777924,420.3
NAME_FAMILY_STATUS,12422.049198246003,467.0
BUREAU_CREDIT_DAYS_CREDIT_MEAN,12383.962042570114,597.1
BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_MIN,12246.734716320037,647.0
REFUSED_DAYS_DECISION_MAX,12038.120711898804,457.3
PREV_Consumer_AMT_ANNUITY_MEAN,11991.179687690736,566.2
BUREAU_ACTIVE_AMT_CREDIT_SUM_SUM,11895.865755796432,545.1
BUREAU_CLOSED_DAYS_CREDIT_MAX,11847.70053153038,585.0
INS_60M_DAYS_ENTRY_PAYMENT_MIN,11674.070563983918,447.6
INS_60M_LATE_PAYMENT_RATIO_MEAN,11613.879694652558,328.0
YEARS_BEGINEXPLUATATION_MEDI,11499.78731136322,590.5
12_TREND_DPD,11440.935208511353,471.8
DAYS_CREDIT_MEAN_TO_EMPLOYED,11027.136934588849,558.9
INS_36M_AMT_PAYMENT_MIN,11009.016912984847,468.9
INS_60M_DPD_7_MEAN,10983.16041021347,306.6
BUREAU_DAYS_CREDIT_ENDDATE_MAX,10892.421165943146,527.4
BUREAU_CONSUMER_AMT_CREDIT_SUM_MEAN,10890.402258872986,519.0
CC_CNT_DRAWINGS_CURRENT_MEAN,10868.230699205398,331.1
INCOME_TO_BIRTH_RATIO,10785.569099092483,557.2
GROUP_CREDIT_MEAN,10761.312422180175,513.2
CC_LIMIT_USE_MAX,10697.762058496475,362.7
INS_36M_DPD_VAR,10606.699867200852,332.4
TOTALAREA_MODE,10542.175632381439,478.8
BUREAU_DAYS_CREDIT_MEAN,10532.070776081086,452.4
GROUP_CREDIT_TO_ANNUITY_STD,10422.909656238557,556.6
PREV_ACTIVE_REMAINING_DEBT_MAX,10406.353570842743,435.7
GROUP_INCOME_STD,10376.394209337235,541.5
BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_MAX,10338.394354724884,511.0
CURRENT_TO_APPROVED_CREDIT_MIN_RATIO,10266.281892347335,511.9
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,10252.080306053162,263.0
BUREAU_CLOSED_AMT_CREDIT_SUM_MEAN,10212.219156599045,518.0
PREV_Consumer_APPLICATION_CREDIT_RATIO_MEAN,10172.686656093598,442.3
BUREAU_CLOSED_AMT_CREDIT_SUM_SUM,10133.768025112153,464.5
BUREAU_CREDIT_DAYS_CREDIT_ENDDATE_MAX,10129.636627292633,538.7
BUREAU_LAST12M_AMT_CREDIT_SUM_MAX,10122.706529045105,453.7
APPROVED_SIMPLE_INTERESTS_MIN,10121.378312301636,354.5
BUREAU_ACTIVE_DAYS_CREDIT_UPDATE_MIN,10071.66245970726,512.0
INS_36M_DAYS_ENTRY_PAYMENT_MEAN,10025.99786081314,464.2
PREV_HOUR_APPR_PROCESS_START_MEAN,10025.895062303543,495.1
DAYS_CREDIT_MEAN_TO_BIRTH,9980.95062122345,482.1
GROUP_ANNUITY_MEAN,9967.062369060517,510.4
NEW_DOC_KURT,9960.056430149078,220.7
INS_36M_DAYS_ENTRY_PAYMENT_MIN,9945.081822633743,444.2
INS_36M_LATE_PAYMENT_RATIO_MEAN,9884.319515419007,319.0
INS_60M_DAYS_ENTRY_PAYMENT_MEAN,9880.922203826904,433.0
GROUP_ANNUITY_STD,9811.427212429047,513.8
PREV_APPLICATION_CREDIT_RATIO_MEAN,9758.404619693756,410.2
BUREAU_ACTIVE_AMT_CREDIT_MAX_OVERDUE_MAX,9699.490981149673,355.0
DAYS_DECISION_MEAN_TO_EMPLOYED,9657.36277074814,485.2
BUREAU_ACTIVE_DAYS_CREDIT_MEAN,9641.015869426727,485.6
BUREAU_ACTIVE_DAYS_CREDIT_UPDATE_MEAN,9597.106226921082,496.9
POS_REMAINING_INSTALMENTS,9596.037197303773,376.1
BUREAU_CLOSED_AMT_CREDIT_SUM_MAX,9500.246297454834,457.7
PREV_Consumer_DAYS_LAST_DUE_1ST_VERSION_MEAN,9489.330519247054,443.6
INS_36M_DBD_VAR,9404.99902381897,480.8
REGION_RATING_CLIENT_W_CITY,9334.409704065323,304.8
INS_36M_DAYS_ENTRY_PAYMENT_MAX,9332.865495061875,464.7
BUREAU_CONSUMER_DEBT_CREDIT_DIFF_MEAN,9325.543838644027,474.4
BUREAU_AMT_CREDIT_SUM_MEAN,9292.060956192017,448.7
BUREAU_CONSUMER_AMT_CREDIT_SUM_MAX,9289.138605308533,443.0
PAYMENT_MIN_TO_ANNUITY_RATIO,9165.00952425003,414.8
PREV_Consumer_SIMPLE_INTERESTS_VAR,9110.21880235672,468.0
INS_12M_CNT_DRAWINGS_ATM_CURRENT_MEAN,9097.861392402649,214.8
BUREAU_CREDIT_AMT_CREDIT_SUM_DEBT_MEAN,9070.532667589188,416.5
PREV_Cash_DAYS_DECISION_MAX,9022.161768484115,480.3
PREV_LAST24M_DAYS_DECISION_MIN,9015.437109136581,465.3
INS_60M_DBD_VAR,8995.57268781662,462.3
BUREAU_CONSUMER_AMT_CREDIT_SUM_DEBT_MEAN,8990.22638463974,379.3
BUREAU_AMT_CREDIT_SUM_SUM,8953.468667793273,380.0
PREV_APPLICATION_CREDIT_RATIO_VAR,8951.46718082428,465.5
DEF_30_CNT_SOCIAL_CIRCLE,8919.957129478455,293.5
BUREAU_DAYS_CREDIT_MIN,8893.888013124466,464.5
BUREAU_LAST12M_AMT_CREDIT_SUM_DEBT_MEAN,8879.841256189346,409.1
LIVINGAREA_AVG,8862.44131784439,412.7
BUREAU_INCOME_CREDIT_RATIO,8822.560930347443,445.2
PREV_LAST24M_DAYS_DECISION_MEAN,8780.498842811585,447.6
POS_MONTHS_BALANCE_MIN,8740.933045387268,373.7
BUREAU_CONSUMER_DAYS_CREDIT_MEAN,8725.967055296898,435.7
PREV_Consumer_APPLICATION_CREDIT_DIFF_VAR,8723.7472823143,444.4
INS_DBD_VAR,8661.1800863266,444.4
PREV_DAYS_DECISION_MEAN,8660.020208120346,352.9
PREV_ACTIVE_DAYS_LAST_DUE_1ST_VERSION_MIN,8642.708233833313,370.1
BUREAU_DAYS_CREDIT_ENDDATE_MIN,8629.232305383683,436.3
INS_36M_DBD_MEAN,8624.977572202682,440.7
CTA_CREDIT_TO_ANNUITY_MEAN_RATIO,8536.863757133484,435.5
PREV_LAST24M_APPLICATION_CREDIT_RATIO_MEAN,8531.797466146945,414.3
BUREAU_CONSUMER_AMT_CREDIT_MAX_OVERDUE_MEAN,8379.694358634948,349.9
INS_DAYS_ENTRY_PAYMENT_MEAN,8358.572231101989,350.1
PREV_Consumer_SIMPLE_INTERESTS_MIN,8313.911646699906,408.1
PREV_AMT_DOWN_PAYMENT_MAX,8307.710364627837,336.1
PREV_Consumer_APPLICATION_CREDIT_RATIO_MIN,8306.331337594986,409.3
PREV_ACTIVE_DAYS_DECISION_MIN,8088.291673660278,405.5
CURRENT_TO_APPROVED_CREDIT_MAX_RATIO,8083.451271915435,359.6
PREV_Consumer_SIMPLE_INTERESTS_MEAN,8067.280756473541,405.9
PREV_CREDIT_TO_ANNUITY_RATIO_MEAN,8066.950140810013,356.3
INS_AMT_INSTALMENT_SUM,8063.565188026429,297.0
PREV_Consumer_APPLICATION_CREDIT_DIFF_MIN,8034.437586927414,408.5
PREV_Consumer_DAYS_LAST_DUE_1ST_VERSION_MAX,8032.378784751892,385.0
INS_36M_AMT_INSTALMENT_MIN,8008.862150430679,382.4
BUREAU_CONSUMER_AMT_CREDIT_SUM_DEBT_MAX,7960.94535536766,357.0
PREV_Cash_APPLICATION_CREDIT_RATIO_MIN,7958.327342319489,307.1
INS_60M_DBD_MEAN,7891.034260225296,399.4
INS_DBD_MEAN,7833.182473230362,394.2
POS_SK_DPD_DEF_MEAN,7830.5493053913115,262.7
PREV_AMT_ANNUITY_MIN,7801.562715291977,394.3
REFUSED_DAYS_DECISION_MEAN,7776.185425615311,297.8
CURRENT_TO_APPROVED_CREDIT_MEAN_RATIO,7763.930872249603,368.0
FLAG_DOCUMENT_3,7737.517240095139,167.8
DAYS_DECISION_MEAN_TO_BIRTH,7723.61663570404,360.4
PREV_Consumer_SIMPLE_INTERESTS_MAX,7699.508513355255,393.6
BUREAU_LAST12M_AMT_CREDIT_SUM_DEBT_SUM,7692.844537544251,360.4
INS_60M_DBD_MAX,7663.095300340652,382.6
BUREAU_CREDIT_ACTIVE_Closed_MEAN,7618.09297838211,264.0
